IV,DV,C,Other
,,,
TIME (SEC),POINTS,FUEL WEIGHT (LBS),M2 max value is set to 1.5 (m2_max)
275,1.9696969696969697,40,
280,1.9523809523809526,40,
285,1.935672514619883,40,
290,1.9195402298850577,40,
295,1.9039548022598871,40,
60,2,42,
65,2,42,
70,2,42,
75,2,42,
80,2,42,
85,2,42,
90,2,42,
95,2,42,
100,2,42,
105,2,42,
110,2,42,
115,2,42,
120,2,42,
125,2,42,
130,2,42,
135,2,42,
140,2,42,
145,2,42,
150,2,42,
155,2,42,
160,2,42,
165,2,42,
170,2,42,
175,2,42,
180,2,42,
185,2,42,
190,2,42,
195,2,42,
200,2,42,
205,2,42,
210,2,42,
215,2,42,
220,2,42,
225,2,42,
230,2,42,
235,2,42,
240,2,42,
245,2,42,
250,2,42,
255,2,42,
260,2,42,
265,2,42,
270,2,42,
275,2,42,
280,2.0,42,
285,1.9824561403508771,42,
290,1.9655172413793105,42,
295,1.9491525423728815,42,
60,2,44,
65,2,44,
70,2,44,
75,2,44,
80,2,44,
85,2,44,
90,2,44,
95,2,44,
100,2,44,
105,2,44,
110,2,44,
115,2,44,
120,2,44,
125,2,44,
130,2,44,
135,2,44,
140,2,44,
145,2,44,
150,2,44,
155,2,44,
160,2,44,
165,2,44,
170,2,44,
175,2,44,
180,2,44,
185,2,44,
190,2,44,
195,2,44,
200,2,44,
205,2,44,
210,2,44,
215,2,44,
220,2,44,
225,2,44,
230,2,44,
235,2,44,
240,2,44,
245,2,44,
250,2,44,
255,2,44,
260,2,44,
265,2,44,
270,2,44,
275,2,44,
280,2,44,
285,2,44,
290,2,44,
295,1.9943502824858759,44,
,,,
,,,
WEIGHT (LBS),POINTS,LAPS,M3 max value is set to 53.4545455 (m3_max)
0.055,2.0187074829772897,1,BOXSCORE : (0)
0.055,2.037414965954579,2,BOXSCORE : (0)
0.055,2.056122448931869,3,BOXSCORE : (0)
0.055,2.074829931909158,4,BOXSCORE : (0)
0.055,2.093537414886448,5,BOXSCORE : (0)
0.055,2.112244897863737,6,BOXSCORE : (0)
0.055,2.130952380841027,7,BOXSCORE : (0)
0.055,2.1496598638183166,8,BOXSCORE : (0)
0.055,2.168367346795606,9,BOXSCORE : (0)
0.056,2.0187074829772897,1,BOXSCORE : (0)
0.056,2.037414965954579,2,BOXSCORE : (0)
0.056,2.056122448931869,3,BOXSCORE : (0)
0.056,2.074829931909158,4,BOXSCORE : (0)
0.056,2.093537414886448,5,BOXSCORE : (0)
0.056,2.112244897863737,6,BOXSCORE : (0)
0.056,2.130952380841027,7,BOXSCORE : (0)
0.056,2.1496598638183166,8,BOXSCORE : (0)
0.056,2.168367346795606,9,BOXSCORE : (0)
0.057,2.0187074829772897,1,BOXSCORE : (0)
0.057,2.037414965954579,2,BOXSCORE : (0)
0.057,2.056122448931869,3,BOXSCORE : (0)
0.057,2.074829931909158,4,BOXSCORE : (0)
0.057,2.093537414886448,5,BOXSCORE : (0)
0.057,2.112244897863737,6,BOXSCORE : (0)
0.057,2.130952380841027,7,BOXSCORE : (0)
0.057,2.1496598638183166,8,BOXSCORE : (0)
0.057,2.168367346795606,9,BOXSCORE : (0)
0.058,2.0187074829772897,1,BOXSCORE : (0)
0.058,2.037414965954579,2,BOXSCORE : (0)
0.058,2.056122448931869,3,BOXSCORE : (0)
0.058,2.074829931909158,4,BOXSCORE : (0)
0.058,2.093537414886448,5,BOXSCORE : (0)
0.058,2.112244897863737,6,BOXSCORE : (0)
0.058,2.130952380841027,7,BOXSCORE : (0)
0.058,2.1496598638183166,8,BOXSCORE : (0)
0.058,2.168367346795606,9,BOXSCORE : (0)
0.059,2.0187074829772897,1,BOXSCORE : (0)
0.059,2.037414965954579,2,BOXSCORE : (0)
0.059,2.056122448931869,3,BOXSCORE : (0)
0.059,2.074829931909158,4,BOXSCORE : (0)
0.059,2.093537414886448,5,BOXSCORE : (0)
0.059,2.112244897863737,6,BOXSCORE : (0)
0.059,2.130952380841027,7,BOXSCORE : (0)
0.059,2.1496598638183166,8,BOXSCORE : (0)
0.059,2.168367346795606,9,BOXSCORE : (0)
0.06,2.0187074829772897,1,BOXSCORE : (0)
0.06,2.037414965954579,2,BOXSCORE : (0)
0.06,2.056122448931869,3,BOXSCORE : (0)
0.06,2.074829931909158,4,BOXSCORE : (0)
0.06,2.093537414886448,5,BOXSCORE : (0)
0.06,2.112244897863737,6,BOXSCORE : (0)
0.06,2.130952380841027,7,BOXSCORE : (0)
0.06,2.1496598638183166,8,BOXSCORE : (0)
0.06,2.168367346795606,9,BOXSCORE : (0)
0.061,2.0187074829772897,1,BOXSCORE : (0)
0.061,2.037414965954579,2,BOXSCORE : (0)
0.061,2.056122448931869,3,BOXSCORE : (0)
0.061,2.074829931909158,4,BOXSCORE : (0)
0.061,2.093537414886448,5,BOXSCORE : (0)
0.061,2.112244897863737,6,BOXSCORE : (0)
0.061,2.130952380841027,7,BOXSCORE : (0)
0.061,2.1496598638183166,8,BOXSCORE : (0)
0.061,2.168367346795606,9,BOXSCORE : (0)
0.062,2.0187074829772897,1,BOXSCORE : (0)
0.062,2.037414965954579,2,BOXSCORE : (0)
0.062,2.056122448931869,3,BOXSCORE : (0)
0.062,2.074829931909158,4,BOXSCORE : (0)
0.062,2.093537414886448,5,BOXSCORE : (0)
0.062,2.112244897863737,6,BOXSCORE : (0)
0.062,2.130952380841027,7,BOXSCORE : (0)
0.062,2.1496598638183166,8,BOXSCORE : (0)
0.062,2.168367346795606,9,BOXSCORE : (0)
0.063,2.0187074829772897,1,BOXSCORE : (0)
0.063,2.037414965954579,2,BOXSCORE : (0)
0.063,2.056122448931869,3,BOXSCORE : (0)
0.063,2.074829931909158,4,BOXSCORE : (0)
0.063,2.093537414886448,5,BOXSCORE : (0)
0.063,2.112244897863737,6,BOXSCORE : (0)
0.063,2.130952380841027,7,BOXSCORE : (0)
0.063,2.1496598638183166,8,BOXSCORE : (0)
0.063,2.168367346795606,9,BOXSCORE : (0)
0.064,2.0187074829772897,1,BOXSCORE : (0)
0.064,2.037414965954579,2,BOXSCORE : (0)
0.064,2.056122448931869,3,BOXSCORE : (0)
