IV,C,DV,Other
,,,
TIME (SEC),FUEL WEIGHT (LBS),POINTS,M2 max value is set to 1.5 (m2_max)
220,26,1.787878787878788,
225,26,1.7703703703703701,
230,26,1.753623188405797,
235,26,1.7375886524822697,
240,26,1.7222222222222223,
245,26,1.7074829931972788,
250,26,1.6933333333333334,
255,26,1.679738562091503,
260,26,1.6666666666666665,
265,26,1.6540880503144653,
270,26,1.6419753086419753,
275,26,1.6303030303030304,
280,26,1.619047619047619,
285,26,1.608187134502924,
290,26,1.5977011494252875,
295,26,1.5875706214689265,
60,28,2,
65,28,2,
70,28,2,
75,28,2,
80,28,2,
85,28,2,
90,28,2,
95,28,2,
100,28,2,
105,28,2,
110,28,2,
115,28,2,
120,28,2,
125,28,2,
130,28,2,
135,28,2,
140,28,2,
145,28,2,
150,28,2,
155,28,2,
160,28,2,
165,28,2,
170,28,2,
175,28,2,
180,28,2,
185,28,2,
190,28,1.9824561403508771,
195,28,1.9572649572649574,
200,28,1.9333333333333331,
205,28,1.910569105691057,
210,28,1.8888888888888888,
215,28,1.868217054263566,
220,28,1.8484848484848486,
225,28,1.8296296296296295,
230,28,1.8115942028985508,
235,28,1.7943262411347516,
240,28,1.7777777777777777,
245,28,1.7619047619047619,
250,28,1.7466666666666666,
255,28,1.7320261437908497,
260,28,1.717948717948718,
265,28,1.7044025157232703,
270,28,1.691358024691358,
275,28,1.6787878787878787,
280,28,1.6666666666666665,
285,28,1.654970760233918,
290,28,1.6436781609195403,
295,28,1.6327683615819208,
60,30,2,
65,30,2,
70,30,2,
75,30,2,
80,30,2,
85,30,2,
90,30,2,
95,30,2,
100,30,2,
105,30,2,
110,30,2,
115,30,2,
120,30,2,
125,30,2,
130,30,2,
135,30,2,
140,30,2,
145,30,2,
150,30,2,
155,30,2,
160,30,2,
165,30,2,
170,30,2,
175,30,2,
180,30,2,
185,30,2,
190,30,2,
195,30,2,
200,30,2.0,
205,30,1.975609756097561,
210,30,1.9523809523809526,
215,30,1.9302325581395348,
220,30,1.9090909090909092,
225,30,1.8888888888888888,
230,30,1.8695652173913042,
235,30,1.851063829787234,
240,30,1.8333333333333335,
245,30,1.816326530612245,
250,30,1.7999999999999998,
255,30,1.784313725490196,
260,30,1.7692307692307692,
265,30,1.7547169811320753,
270,30,1.740740740740741,
275,30,1.727272727272727,
280,30,1.7142857142857144,
285,30,1.7017543859649122,
290,30,1.6896551724137931,
295,30,1.6779661016949152,
60,32,2,
65,32,2,
70,32,2,
75,32,2,
80,32,2,
85,32,2,
90,32,2,
95,32,2,
100,32,2,
105,32,2,
110,32,2,
115,32,2,
120,32,2,
125,32,2,
130,32,2,
135,32,2,
140,32,2,
145,32,2,
150,32,2,
155,32,2,
160,32,2,
165,32,2,
170,32,2,
175,32,2,
180,32,2,
185,32,2,
190,32,2,
195,32,2,
200,32,2,
205,32,2,
210,32,2,
215,32,1.9922480620155039,
220,32,1.9696969696969697,
225,32,1.9481481481481482,
230,32,1.927536231884058,
235,32,1.9078014184397163,
240,32,1.8888888888888888,
245,32,1.870748299319728,
250,32,1.8533333333333335,
255,32,1.8366013071895426,
260,32,1.8205128205128207,
265,32,1.8050314465408803,
270,32,1.7901234567901234,
275,32,1.7757575757575759,
280,32,1.7619047619047619,
285,32,1.7485380116959064,
290,32,1.735632183908046,
295,32,1.7231638418079096,
60,34,2,
65,34,2,
70,34,2,
75,34,2,
80,34,2,
85,34,2,
90,34,2,
95,34,2,
100,34,2,
105,34,2,
110,34,2,
115,34,2,
120,34,2,
125,34,2,
130,34,2,
135,34,2,
140,34,2,
145,34,2,
150,34,2,
155,34,2,
160,34,2,
165,34,2,
170,34,2,
175,34,2,
180,34,2,
185,34,2,
190,34,2,
195,34,2,
200,34,2,
205,34,2,
210,34,2,
215,34,2,
220,34,2,
225,34,2,
230,34,1.9855072463768115,
235,34,1.9645390070921986,
240,34,1.9444444444444446,
245,34,1.925170068027211,
250,34,1.9066666666666667,
255,34,1.8888888888888888,
260,34,1.8717948717948718,
265,34,1.8553459119496853,
270,34,1.8395061728395063,
275,34,1.8242424242424242,
280,34,1.8095238095238093,
285,34,1.7953216374269005,
290,34,1.7816091954022988,
295,34,1.768361581920904,
60,36,2,
65,36,2,
70,36,2,
75,36,2,
80,36,2,
85,36,2,
90,36,2,
95,36,2,
100,36,2,
105,36,2,
110,36,2,
115,36,2,
120,36,2,
125,36,2,
130,36,2,
135,36,2,
140,36,2,
145,36,2,
150,36,2,
155,36,2,
160,36,2,
165,36,2,
170,36,2,
175,36,2,
180,36,2,
185,36,2,
190,36,2,
195,36,2,
200,36,2,
205,36,2,
210,36,2,
215,36,2,
220,36,2,
225,36,2,
230,36,2,
235,36,2,
240,36,2.0,
245,36,1.979591836734694,
250,36,1.96,
255,36,1.9411764705882355,
260,36,1.923076923076923,
265,36,1.9056603773584904,
270,36,1.8888888888888888,
275,36,1.8727272727272726,
280,36,1.8571428571428572,
285,36,1.8421052631578947,
290,36,1.8275862068965516,
295,36,1.8135593220338984,
60,38,2,
65,38,2,
70,38,2,
75,38,2,
80,38,2,
85,38,2,
90,38,2,
95,38,2,
100,38,2,
105,38,2,
110,38,2,
115,38,2,
120,38,2,
125,38,2,
130,38,2,
135,38,2,
140,38,2,
145,38,2,
150,38,2,
155,38,2,
160,38,2,
165,38,2,
170,38,2,
175,38,2,
180,38,2,
185,38,2,
190,38,2,
195,38,2,
200,38,2,
205,38,2,
210,38,2,
215,38,2,
220,38,2,
225,38,2,
230,38,2,
235,38,2,
240,38,2,
245,38,2,
250,38,2,
255,38,1.9934640522875817,
260,38,1.9743589743589745,
265,38,1.9559748427672954,
270,38,1.9382716049382718,
275,38,1.9212121212121214,
280,38,1.9047619047619047,
285,38,1.8888888888888888,
290,38,1.8735632183908044,
295,38,1.8587570621468927,
60,40,2,
65,40,2,
70,40,2,
75,40,2,
80,40,2,
85,40,2,
90,40,2,
95,40,2,
100,40,2,
105,40,2,
110,40,2,
115,40,2,
120,40,2,
125,40,2,
130,40,2,
135,40,2,
140,40,2,
145,40,2,
150,40,2,
155,40,2,
160,40,2,
165,40,2,
170,40,2,
175,40,2,
180,40,2,
185,40,2,
190,40,2,
195,40,2,
200,40,2,
205,40,2,
210,40,2,
215,40,2,
220,40,2,
225,40,2,
230,40,2,
235,40,2,
240,40,2,
245,40,2,
250,40,2,
255,40,2,
260,40,2,
265,40,2,
270,40,1.9876543209876543,
275,40,1.9696969696969697,
280,40,1.9523809523809526,
285,40,1.935672514619883,
290,40,1.9195402298850577,
295,40,1.9039548022598871,
60,42,2,
65,42,2,
70,42,2,
75,42,2,
80,42,2,
85,42,2,
90,42,2,
95,42,2,
100,42,2,
105,42,2,
110,42,2,
115,42,2,
